time,motor1,motor2,motor3,motor4,dt,e_vz,u_p,u_i,u_d,u_raw,u_sat,vz_est,pz_est
0.000,1.000,1.000,1.000,1.000,0.000000,1.000,10.000,0.015,0.000,10.015,1.000,0.000,0.000
0.001,1.000,1.000,1.000,1.000,0.001000,0.999,9.990,0.030,0.000,10.020,1.000,0.001,0.000
0.002,1.000,1.000,1.000,1.000,0.001000,0.997,9.970,0.045,0.000,10.015,1.000,0.003,0.000
0.003,1.000,1.000,1.000,1.000,0.001000,0.994,9.940,0.060,0.000,10.000,1.000,0.006,0.000
0.004,1.000,1.000,1.000,1.000,0.001000,0.990,9.900,0.075,0.000,9.975,1.000,0.010,0.000
0.005,1.000,1.000,1.000,1.000,0.001000,0.985,9.850,0.089,0.000,9.939,1.000,0.015,0.000
0.006,1.000,1.000,1.000,1.000,0.001000,0.979,9.790,0.104,0.000,9.894,1.000,0.021,0.000
0.007,1.000,1.000,1.000,1.000,0.001000,0.972,9.720,0.119,0.000,9.839,1.000,0.028,0.000
0.008,1.000,1.000,1.000,1.000,0.001000,0.964,9.640,0.133,0.000,9.773,1.000,0.036,0.000
0.009,1.000,1.000,1.000,1.000,0.001000,0.955,9.550,0.148,0.000,9.698,1.000,0.045,0.000
0.010,1.000,1.000,1.000,1.000,0.001000,0.945,9.450,0.162,0.000,9.612,1.000,0.055,0.000
0.011,1.000,1.000,1.000,1.000,0.001000,0.934,9.340,0.176,0.000,9.516,1.000,0.066,0.000
0.012,1.000,1.000,1.000,1.000,0.001000,0.922,9.220,0.190,0.000,9.410,1.000,0.078,0.000
0.013,1.000,1.000,1.000,1.000,0.001000,0.909,9.090,0.203,0.000,9.293,1.000,0.091,0.000
0.014,1.000,1.000,1.000,1.000,0.001000,0.895,8.950,0.217,0.000,9.167,1.000,0.105,0.001
0.015,1.000,1.000,1.000,1.000,0.001000,0.880,8.800,0.230,0.000,9.030,1.000,0.120,0.001
0.016,1.000,1.000,1.000,1.000,0.001000,0.864,8.640,0.243,0.000,8.883,1.000,0.136,0.001
0.017,1.000,1.000,1.000,1.000,0.001000,0.847,8.470,0.255,0.000,8.725,1.000,0.153,0.001
0.018,1.000,1.000,1.000,1.000,0.001000,0.829,8.290,0.268,0.000,8.558,1.000,0.171,0.001
0.019,1.000,1.000,1.000,1.000,0.001000,0.810,8.100,0.280,0.000,8.380,1.000,0.190,0.001
0.020,1.000,1.000,1.000,1.000,0.001000,0.790,7.900,0.292,0.000,8.192,1.000,0.210,0.002
